old_name,new_name
lizard_adv_2,Lizard adenovirus 2
snake_adv_1,Snake adenovirus 1 (Partial)
barthadenovirus_zootocae,Barthadenovirus zootocae
8054,Anolis adenovirus 2 (8054)
8158,Anolis adenovirus 2 (8158)
bearded_dragon_adv_1,Bearded dragon adenovirus 1
deer_adv_A,Deer atadenovirus A
odocoileus_adv_1,Odocoileus adenovirus 1
bovine_adv_7,Bovine adenovirus 7
ovine_adv_7,Ovine adenovirus 7
agile_wallaby,Agile wallaby adenovirus 1 (Partial)
avian_adv,Avian adenovirus
duck_adv_1,Duck adenovirus 1
tern_adv_1,Tern atadenovirus 1
thrush_adv,Barthadenovirus zootherae
psittacine_adv_3,Psittacine adenovirus 3
barthadenovirus_caerulei,Barthadenovirus caerulei
barthadenovirus_varani,Barthadenovirus varani
barthadenovirus_inornati,Barthadenovirus inornati
barthadenovirus_schwarzi,Barthadenovirus schwarzi
passerine_adenovirus_1,Barthadenovirus mellis
barthadenovirus_gerygones,Barthadenovirus gerygones
bat_adv_2,Bat adenovirus 2
canine_adv_2,Canine adenovirus type 2
human_adv_c,Human adenovirus C
human_adv_a,Human adenovirus A
falcon_aviadenovirus,Falcon aviadenovirus A
cormorant_aviadenovirus,Aviadenovirus phalacrocoracidae
fowl_aviadenovirus_b,Fowl aviadenovirus B
aviadenovirus_bubonis,Aviadenovirus bubonis
turkey_adv_3,Turkey adenovirus 3
chinstrap_penguin,Chinstrap penguin adenovirus 2
corella_adv_1,Psittacine adenovirus 7
softshell_turtle,Chinese softshell turtle adenovirus 1
frog_adv,Frog adenovirus 1
red_eared_slider_adv_partial,Red eared slider adenovirus 1 (Partial)
white_sturgeon_adv,White sturgeon adenovirus 1
